entrez_gene_id	gene_symbol	gene_name	positive	sources	testing
84286	TMEM175	transmembrane protein 175	0		0
84287	ZDHHC16	zinc finger, DHHC-type containing 16	0		0
84288	EFCAB2	EF-hand calcium binding domain 2	0		1
84289	ING5	inhibitor of growth family, member 5	0		1
84290	CAPNS2	calpain, small subunit 2	0		0
84292	WDR83	WD repeat domain 83	0		0
84293	FAM213A	family with sequence similarity 213, member A	0		1
84294	UTP23	UTP23, small subunit (SSU) processome component, homolog (yeast)	0		0
84295	PHF6	PHD finger protein 6	1	DISEASES	1
84296	GINS4	GINS complex subunit 4 (Sld5 homolog)	0		0
84298	LLPH	LLP homolog, long-term synaptic facilitation (Aplysia)	0		1
84299	MIEN1	migration and invasion enhancer 1	0		0
84300	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2	0		0
84301	DDI2	DNA-damage inducible 1 homolog 2 (S. cerevisiae)	0		1
84302	TMEM246	transmembrane protein 246	0		1
84303	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	0		0
84304	NUDT22	nudix (nucleoside diphosphate linked moiety X)-type motif 22	0		0
84305	WIBG	within bgcn homolog (Drosophila)	0		0
84306	PDCD2L	programmed cell death 2-like	0		0
84307	ZNF397	zinc finger protein 397	0		0
84309	NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1	0		0
84310	C7orf50	chromosome 7 open reading frame 50	0		0
84311	MRPL45	mitochondrial ribosomal protein L45	0		0
84312	BRMS1L	breast cancer metastasis-suppressor 1-like	0		1
84313	VPS25	vacuolar protein sorting 25 homolog (S. cerevisiae)	0		1
84314	TMEM107	transmembrane protein 107	0		0
84315	MON1A	MON1 secretory trafficking family member A	0		0
84316	NAA38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	0		0
84317	CCDC115	coiled-coil domain containing 115	0		1
84318	CCDC77	coiled-coil domain containing 77	0		0
84319	CMSS1	cms1 ribosomal small subunit homolog (yeast)	0		0
84320	ACBD6	acyl-CoA binding domain containing 6	0		0
84321	THOC3	THO complex 3	0		1
84324	SARNP	SAP domain containing ribonucleoprotein	0		0
84326	C16orf13	chromosome 16 open reading frame 13	0		0
84327	ZBED3	zinc finger, BED-type containing 3	0		1
84328	LZIC	leucine zipper and CTNNBIP1 domain containing	0		1
84329	HVCN1	hydrogen voltage gated channel 1	0		1
84330	ZNF414	zinc finger protein 414	0		1
84331	FAM195A	family with sequence similarity 195, member A	0		0
84332	DYDC2	DPY30 domain containing 2	0		0
84333	PCGF5	polycomb group ring finger 5	0		0
84334	APOPT1	apoptogenic 1, mitochondrial	0		0
84335	AKT1S1	AKT1 substrate 1 (proline-rich)	0		0
84336	TMEM101	transmembrane protein 101	0		0
84337	ELOF1	elongation factor 1 homolog (S. cerevisiae)	0		0
84340	GFM2	G elongation factor, mitochondrial 2	0		1
84342	COG8	component of oligomeric golgi complex 8	0		1
84343	HPS3	Hermansky-Pudlak syndrome 3	0		0
84364	ARFGAP2	ADP-ribosylation factor GTPase activating protein 2	0		0
84365	NIFK	nucleolar protein interacting with the FHA domain of MKI67	0		0
84366	PRAC1	prostate cancer susceptibility candidate 1	0		0
84376	HOOK3	hook microtubule-tethering protein 3	0		0
84417	C2orf40	chromosome 2 open reading frame 40	0		0
84418	CYSTM1	cysteine-rich transmembrane module containing 1	0		0
84419	C15orf48	chromosome 15 open reading frame 48	0		0
84432	PROK1	prokineticin 1	0		0
84433	CARD11	caspase recruitment domain family, member 11	0		0
84435	ADGRA1	adhesion G protein-coupled receptor A1	0		1
84436	ZNF528	zinc finger protein 528	0		0
84437	MSANTD4	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils	0		1
84439	HHIPL1	HHIP-like 1	0		0
84440	RAB11FIP4	RAB11 family interacting protein 4 (class II)	0		0
84441	MAML2	mastermind-like 2 (Drosophila)	0		0
84443	FRMPD3	FERM and PDZ domain containing 3	0		0
84444	DOT1L	DOT1-like histone H3K79 methyltransferase	0		0
84445	LZTS2	leucine zipper, putative tumor suppressor 2	0		0
84446	BRSK1	BR serine/threonine kinase 1	0		1
84447	SYVN1	synovial apoptosis inhibitor 1, synoviolin	0		0
84448	ABLIM2	actin binding LIM protein family, member 2	0		1
84449	ZNF333	zinc finger protein 333	0		0
84450	ZNF512	zinc finger protein 512	0		1
84451	KIAA1804	mixed lineage kinase 4	0		1
84455	EFCAB7	EF-hand calcium binding domain 7	0		0
84456	L3MBTL3	l(3)mbt-like 3 (Drosophila)	0		0
84457	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein-like	0		0
84458	LCOR	ligand dependent nuclear receptor corepressor	0		1
84460	ZMAT1	zinc finger, matrin-type 1	0		1
84461	NEURL4	neuralized E3 ubiquitin protein ligase 4	0		1
84464	SLX4	SLX4 structure-specific endonuclease subunit	0		0
84465	MEGF11	multiple EGF-like-domains 11	0		0
84466	MEGF10	multiple EGF-like-domains 10	0		0
84467	FBN3	fibrillin 3	0		1
84498	FAM120B	family with sequence similarity 120B	0		1
84501	SPIRE2	spire-type actin nucleation factor 2	0		0
84502	JPH4	junctophilin 4	0		0
84503	ZNF527	zinc finger protein 527	0		1
84504	NKX6-2	NK6 homeobox 2	0		1
84513	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B	0		0
84514	GHDC	GH3 domain containing	0		0
84515	MCM8	minichromosome maintenance complex component 8	0		0
84516	DCTN5	dynactin 5 (p25)	0		0
84517	ACTRT3	actin-related protein T3	0		0
84518	CNFN	cornifelin	0		0
84519	ACRBP	acrosin binding protein	0		1
84520	C14orf142	chromosome 14 open reading frame 142	0		1
84522	JAGN1	jagunal homolog 1 (Drosophila)	0		1
84524	ZC3H8	zinc finger CCCH-type containing 8	0		0
84525	HOPX	HOP homeobox	0		1
84527	ZNF559	zinc finger protein 559	0		0
84528	RHOXF2	Rhox homeobox family, member 2	0		0
84529	C15orf41	chromosome 15 open reading frame 41	0		0
84530	SRRM4	serine/arginine repetitive matrix 4	0		0
84532	ACSS1	acyl-CoA synthetase short-chain family member 1	0		0
84539	MCHR2	melanin-concentrating hormone receptor 2	0		1
84541	KBTBD8	kelch repeat and BTB (POZ) domain containing 8	0		1
84542	KIAA1841	KIAA1841	0		0
84545	MRPL43	mitochondrial ribosomal protein L43	0		0
84547	PGBD1	piggyBac transposable element derived 1	0		0
84548	TMEM185A	transmembrane protein 185A	0		0
84549	MAK16	MAK16 homolog (S. cerevisiae)	0		0
84552	PARD6G	par-6 family cell polarity regulator gamma	0		0
84553	FAXC	failed axon connections homolog (Drosophila)	0		0
84557	MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha	0		0
84560	MT4	metallothionein 4	0		0
84561	SLC12A8	solute carrier family 12, member 8	0		0
84569	LYZL1	lysozyme-like 1	0		0
84570	COL25A1	collagen, type XXV, alpha 1	0		0
84572	GNPTG	N-acetylglucosamine-1-phosphate transferase, gamma subunit	0		1
84612	PARD6B	par-6 family cell polarity regulator beta	0		0
84614	ZBTB37	zinc finger and BTB domain containing 37	0		0
84616	KRTAP4-4	keratin associated protein 4-4	0		0
84617	TUBB6	tubulin, beta 6 class V	0		0
84618	NT5C1A	5'-nucleotidase, cytosolic IA	0		1
84619	ZGPAT	zinc finger, CCCH-type with G patch domain	0		0
84620	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	0		0
84622	ZNF594	zinc finger protein 594	0		1
84623	KIRREL3	kin of IRRE like 3 (Drosophila)	0		0
84624	FNDC1	fibronectin type III domain containing 1	0		0
84626	KRBA1	KRAB-A domain containing 1	0		1
84627	ZNF469	zinc finger protein 469	0		0
84628	NTNG2	netrin G2	0		0
84629	TNRC18	trinucleotide repeat containing 18	0		0
84630	TTBK1	tau tubulin kinase 1	0		0
84631	SLITRK2	SLIT and NTRK-like family, member 2	0		1
84632	AFAP1L2	actin filament associated protein 1-like 2	0		0
84634	KISS1R	KISS1 receptor	0		0
84636	GPR174	G protein-coupled receptor 174	0		0
84639	IL1F10	interleukin 1 family, member 10 (theta)	0		0
84640	USP38	ubiquitin specific peptidase 38	0		1
84641	HIATL1	hippocampus abundant transcript-like 1	0		1
84643	KIF2B	kinesin family member 2B	0		1
84645	C22orf23	chromosome 22 open reading frame 23	0		0
84647	PLA2G12B	phospholipase A2, group XIIB	0		1
84648	LCE3D	late cornified envelope 3D	0		0
84649	DGAT2	diacylglycerol O-acyltransferase 2	0		1
84650	EBPL	emopamil binding protein-like	0		0
84651	SPINK7	serine peptidase inhibitor, Kazal type 7 (putative)	0		0
84654	SPZ1	spermatogenic leucine zipper 1	0		1
84656	GLYR1	glyoxylate reductase 1 homolog (Arabidopsis)	0		0
84658	ADGRE3	adhesion G protein-coupled receptor E3	0		1
84659	RNASE7	ribonuclease, RNase A family, 7	0		1
84660	CCDC62	coiled-coil domain containing 62	0		0
84661	DPY30	dpy-30 homolog (C. elegans)	0		0
84662	GLIS2	GLIS family zinc finger 2	0		0
84665	MYPN	myopalladin	0		0
84666	RETNLB	resistin like beta	0		0
84667	HES7	hes family bHLH transcription factor 7	0		0
84668	FAM126A	family with sequence similarity 126, member A	0		0
84669	USP32	ubiquitin specific peptidase 32	0		1
84671	ZNF347	zinc finger protein 347	0		0
84674	CARD6	caspase recruitment domain family, member 6	0		1
84675	TRIM55	tripartite motif containing 55	0		0
84676	TRIM63	tripartite motif containing 63, E3 ubiquitin protein ligase	0		1
84678	KDM2B	lysine (K)-specific demethylase 2B	0		0
84679	SLC9A7	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7	0		1
84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	0		1
84681	HINT2	histidine triad nucleotide binding protein 2	0		0
84684	INSM2	insulinoma-associated 2	0		0
84687	PPP1R9B	protein phosphatase 1, regulatory subunit 9B	0		1
84688	C9orf24	chromosome 9 open reading frame 24	0		0
84689	MS4A14	membrane-spanning 4-domains, subfamily A, member 14	0		0
84690	SPATA22	spermatogenesis associated 22	0		0
84691	FAM71F1	family with sequence similarity 71, member F1	0		0
84692	CCDC54	coiled-coil domain containing 54	0		0
84693	MCEE	methylmalonyl CoA epimerase	0		1
84694	GJA10	gap junction protein, alpha 10, 62kDa	0		0
84695	LOXL3	lysyl oxidase-like 3	0		0
84696	ABHD1	abhydrolase domain containing 1	0		0
84698	CAPS2	calcyphosine 2	0		0
84699	CREB3L3	cAMP responsive element binding protein 3-like 3	0		0
84700	MYO18B	myosin XVIIIB	0		0
84701	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	0		1
84705	GTPBP3	GTP binding protein 3 (mitochondrial)	0		0
84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	0		0
84707	BEX2	brain expressed X-linked 2	0		0
84708	LNX1	ligand of numb-protein X 1, E3 ubiquitin protein ligase	0		0
84709	MGARP	mitochondria-localized glutamic acid-rich protein	0		1
84717	HDGFRP2	hepatoma-derived growth factor-related protein 2	0		0
84720	PIGO	phosphatidylinositol glycan anchor biosynthesis, class O	0		0
84722	PSRC1	proline/serine-rich coiled-coil 1	0		1
84725	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	0		1
84726	PRRC2B	proline-rich coiled-coil 2B	0		0
84727	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2	0		0
84733	CBX2	chromobox homolog 2	0		0
84734	FAM167B	family with sequence similarity 167, member B	0		1
84735	CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	0		0
84747	UNC119B	unc-119 homolog B (C. elegans)	0		1
84749	USP30	ubiquitin specific peptidase 30	0		0
84750	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	0		1
84752	B3GNT9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	0		0
84759	PCGF1	polycomb group ring finger 1	0		0
84765	ZNF577	zinc finger protein 577	0		1
84766	CRACR2A	calcium release activated channel regulator 2A	0		0
84767	TRIM51	tripartite motif-containing 51	0		0
84769	MPV17L2	MPV17 mitochondrial membrane protein-like 2	0		0
84775	ZNF607	zinc finger protein 607	0		1
84779	NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit	0		0
84787	SUV420H2	suppressor of variegation 4-20 homolog 2 (Drosophila)	0		1
84790	TUBA1C	tubulin, alpha 1c	0		0
84792	FAM220A	family with sequence similarity 220, member A	0		0
84795	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	0		0
84798	C19orf48	chromosome 19 open reading frame 48	0		1
84803	AGPAT9	1-acylglycerol-3-phosphate O-acyltransferase 9	0		0
84804	MFSD9	major facilitator superfamily domain containing 9	0		0
84807	NFKBID	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta	0		0
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	0		1
84811	BUD13	BUD13 homolog (S. cerevisiae)	0		0
84812	PLCD4	phospholipase C, delta 4	0		0
84814	PPAPDC3	phosphatidic acid phosphatase type 2 domain containing 3	0		1
84816	RTN4IP1	reticulon 4 interacting protein 1	0		1
84817	TXNDC17	thioredoxin domain containing 17	0		0
84818	IL17RC	interleukin 17 receptor C	0		0
84823	LMNB2	lamin B2	0		0
84824	FCRLA	Fc receptor-like A	0		0
84826	SFT2D3	SFT2 domain containing 3	0		0
84830	ADTRP	androgen-dependent TFPI-regulating protein	0		0
84833	USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)	0		0
84836	ABHD14B	abhydrolase domain containing 14B	0		0
84838	ZNF496	zinc finger protein 496	0		1
84839	RAX2	retina and anterior neural fold homeobox 2	0		0
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase-like	0		0
84844	PHF5A	PHD finger protein 5A	0		1
84851	TRIM52	tripartite motif containing 52	0		1
84858	ZNF503	zinc finger protein 503	0		0
84859	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	0		0
84861	KLHL22	kelch-like family member 22	0		1
84864	MINA	MYC induced nuclear antigen	0		0
84865	CCDC142	coiled-coil domain containing 142	0		0
84866	TMEM25	transmembrane protein 25	0		0
84867	PTPN5	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	0		0
84868	HAVCR2	hepatitis A virus cellular receptor 2	0		0
84869	CBR4	carbonyl reductase 4	0		0
84870	RSPO3	R-spondin 3	0		0
84871	AGBL4	ATP/GTP binding protein-like 4	0		1
84872	ZC3H10	zinc finger CCCH-type containing 10	0		0
84873	ADGRG7	adhesion G protein-coupled receptor G7	0		0
84874	ZNF514	zinc finger protein 514	0		0
84875	PARP10	poly (ADP-ribose) polymerase family, member 10	0		0
84876	ORAI1	ORAI calcium release-activated calcium modulator 1	0		0
84878	ZBTB45	zinc finger and BTB domain containing 45	0		0
84879	MFSD2A	major facilitator superfamily domain containing 2A	0		1
84881	RPUSD4	RNA pseudouridylate synthase domain containing 4	0		1
84883	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	0		1
84885	ZDHHC12	zinc finger, DHHC-type containing 12	0		0
84886	C1orf198	chromosome 1 open reading frame 198	0		0
84888	SPPL2A	signal peptide peptidase like 2A	0		0
84889	SLC7A3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	0		0
84890	ADO	2-aminoethanethiol (cysteamine) dioxygenase	0		0
84891	ZSCAN10	zinc finger and SCAN domain containing 10	0		1
84892	POMGNT2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	0		0
84893	FBXO18	F-box protein, helicase, 18	0		1
84894	LINGO1	leucine rich repeat and Ig domain containing 1	0		0
84895	FAM73B	family with sequence similarity 73, member B	0		0
84896	ATAD1	ATPase family, AAA domain containing 1	0		0
84897	TBRG1	transforming growth factor beta regulator 1	0		0
84898	PLXDC2	plexin domain containing 2	0		0
84899	TMTC4	transmembrane and tetratricopeptide repeat containing 4	0		0
84900	RNFT2	ring finger protein, transmembrane 2	0		0
84901	NFATC2IP	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	0		0
84902	CEP89	centrosomal protein 89kDa	0		1
84904	ARHGEF39	Rho guanine nucleotide exchange factor (GEF) 39	0		1
84905	ZNF341	zinc finger protein 341	0		0
84908	FAM136A	family with sequence similarity 136, member A	0		0
84909	C9orf3	chromosome 9 open reading frame 3	0		1
84910	TMEM87B	transmembrane protein 87B	0		0
84911	ZNF382	zinc finger protein 382	0		0
84912	SLC35B4	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4	0		0
84913	ATOH8	atonal homolog 8 (Drosophila)	0		1
84914	ZNF587	zinc finger protein 587	0		1
84915	FAM222A	family with sequence similarity 222, member A	0		1
84916	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	0		1
84918	LRP11	low density lipoprotein receptor-related protein 11	0		0
84919	PPP1R15B	protein phosphatase 1, regulatory subunit 15B	0		0
84920	ALG10	ALG10, alpha-1,2-glucosyltransferase	0		1
84922	FIZ1	FLT3-interacting zinc finger 1	0		0
84923	FAM104A	family with sequence similarity 104, member A	0		0
84924	ZNF566	zinc finger protein 566	0		1
84925	DIRC2	disrupted in renal carcinoma 2	0		1
84926	SPRYD3	SPRY domain containing 3	0		1
84928	TMEM209	transmembrane protein 209	0		0
84929	FIBCD1	fibrinogen C domain containing 1	0		1
84930	MASTL	microtubule associated serine/threonine kinase-like	0		0
84932	RAB2B	RAB2B, member RAS oncogene family	0		1
84933	C8orf76	chromosome 8 open reading frame 76	0		1
84934	RITA1	RBPJ interacting and tubulin associated 1	0		1
84935	MEDAG	mesenteric estrogen-dependent adipogenesis	0		1
84936	ZFYVE19	zinc finger, FYVE domain containing 19	0		0
84937	ZNRF1	zinc and ring finger 1, E3 ubiquitin protein ligase	0		1
84938	ATG4C	autophagy related 4C, cysteine peptidase	0		1
84939	MUM1	melanoma associated antigen (mutated) 1	0		0
84940	CORO6	coronin 6	0		0
84941	HSH2D	hematopoietic SH2 domain containing	0		0
84942	WDR73	WD repeat domain 73	1	DISEASES	0
84944	MAEL	maelstrom spermatogenic transposon silencer	0		0
84945	ABHD13	abhydrolase domain containing 13	0		0
84946	LTV1	LTV1 ribosome biogenesis factor	0		0
84947	SERAC1	serine active site containing 1	0		0
84948	TIGD5	tigger transposable element derived 5	0		0
84950	PRPF38A	pre-mRNA processing factor 38A	0		1
84951	TNS4	tensin 4	0		1
84952	CGNL1	cingulin-like 1	0		0
84953	MICALCL	MICAL C-terminal like	0		1
84954	MPND	MPN domain containing	0		0
84955	NUDCD1	NudC domain containing 1	0		0
84957	RELT	RELT tumor necrosis factor receptor	0		0
84958	SYTL1	synaptotagmin-like 1	0		0
84959	UBASH3B	ubiquitin associated and SH3 domain containing B	0		1
84960	CCDC183	coiled-coil domain containing 183	0		0
84961	FBXL20	F-box and leucine-rich repeat protein 20	0		0
84962	AJUBA	ajuba LIM protein	0		0
84964	ALKBH6	alkB, alkylation repair homolog 6 (E. coli)	0		0
84966	IGSF21	immunoglobin superfamily, member 21	0		0
84967	LSM10	LSM10, U7 small nuclear RNA associated	0		0
84968	PNMA6A	paraneoplastic Ma antigen family member 6A	0		1
84969	TOX2	TOX high mobility group box family member 2	0		1
84970	C1orf94	chromosome 1 open reading frame 94	0		0
84971	ATG4D	autophagy related 4D, cysteine peptidase	0		0
84975	MFSD5	major facilitator superfamily domain containing 5	0		0
84976	DISP1	dispatched homolog 1 (Drosophila)	0		0
84978	FRMD5	FERM domain containing 5	0		0
84984	CEP19	centrosomal protein 19kDa	0		0
84985	FAM83A	family with sequence similarity 83, member A	0		1
84986	ARHGAP19	Rho GTPase activating protein 19	0		0
84987	COX14	COX14 cytochrome c oxidase assembly factor	0		0
84988	PPP1R16A	protein phosphatase 1, regulatory subunit 16A	0		0
84991	RBM17	RNA binding motif protein 17	0		1
84992	PIGY	phosphatidylinositol glycan anchor biosynthesis, class Y	0		0
84993	UBL7	ubiquitin-like 7	0		0
85002	FAM86B1	family with sequence similarity 86, member B1	0		0
85004	RERG	RAS-like, estrogen-regulated, growth inhibitor	0		0
85007	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	0		0
85012	TCEAL3	transcription elongation factor A (SII)-like 3	0		0
85013	TMEM128	transmembrane protein 128	0		0
85014	TMEM141	transmembrane protein 141	0		0
85015	USP45	ubiquitin specific peptidase 45	0		1
85016	C11orf70	chromosome 11 open reading frame 70	0		1
85019	TMEM241	transmembrane protein 241	0		1
85021	REPS1	RALBP1 associated Eps domain containing 1	0		0
85025	TMEM60	transmembrane protein 60	0		1
85027	SMIM3	small integral membrane protein 3	0		0
85235	HIST1H2AH	histone cluster 1, H2ah	0		0
85236	HIST1H2BK	histone cluster 1, H2bk	0		0
85280	KRTAP9-4	keratin associated protein 9-4	0		0
85285	KRTAP4-1	keratin associated protein 4-1	0		0
85289	KRTAP4-5	keratin associated protein 4-5	0		0
85290	KRTAP4-3	keratin associated protein 4-3	0		0
85291	KRTAP4-2	keratin associated protein 4-2	0		1
85293	KRTAP3-3	keratin associated protein 3-3	0		1
85294	KRTAP2-4	keratin associated protein 2-4	0		0
85300	ATCAY	ataxia, cerebellar, Cayman type	0		0
85301	COL27A1	collagen, type XXVII, alpha 1	0		0
85302	FBF1	Fas (TNFRSF6) binding factor 1	0		0
85313	PPIL4	peptidylprolyl isomerase (cyclophilin)-like 4	0		0
85315	PAQR8	progestin and adipoQ receptor family member VIII	0		0
85316	BAGE5	B melanoma antigen family, member 5	0		1
85317	BAGE4	B melanoma antigen family, member 4	0		0
85318	BAGE3	B melanoma antigen family, member 3	0		1
85319	BAGE2	B melanoma antigen family, member 2	0		0
85320	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	0		0
85329	LGALS12	lectin, galactoside-binding, soluble, 12	0		0
85352	KIAA1644	KIAA1644	0		0
85358	SHANK3	SH3 and multiple ankyrin repeat domains 3	0		0
85359	DGCR6L	DiGeorge syndrome critical region gene 6-like	0		1
85360	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	0		0
85363	TRIM5	tripartite motif containing 5	0		1
85364	ZCCHC3	zinc finger, CCHC domain containing 3	0		0
85365	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	0		1
85366	MYLK2	myosin light chain kinase 2	0		0
85369	STRIP1	striatin interacting protein 1	0		0
85376	RIMBP3	RIMS binding protein 3	0		0
85377	MICALL1	MICAL-like 1	0		0
85378	TUBGCP6	tubulin, gamma complex associated protein 6	0		1
85379	KIAA1671	KIAA1671	0		0
85395	FAM207A	family with sequence similarity 207, member A	0		1
85397	RGS8	regulator of G-protein signaling 8	0		0
85403	EAF1	ELL associated factor 1	0		0
85406	DNAJC14	DnaJ (Hsp40) homolog, subfamily C, member 14	0		1
85407	NKD1	naked cuticle homolog 1 (Drosophila)	0		0
85409	NKD2	naked cuticle homolog 2 (Drosophila)	0		1
85413	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	0		0
85414	SLC45A3	solute carrier family 45, member 3	0		1
85415	RHPN2	rhophilin, Rho GTPase binding protein 2	0		0
85416	ZIC5	Zic family member 5	0		0
85417	CCNB3	cyclin B3	0		0
85437	ZCRB1	zinc finger CCHC-type and RNA binding motif 1	0		0
85438	CABS1	calcium-binding protein, spermatid-specific 1	0		0
85439	STON2	stonin 2	0		0
85440	DOCK7	dedicator of cytokinesis 7	1	DISEASES	0
85441	HELZ2	helicase with zinc finger 2, transcriptional coactivator	0		0
85442	KNDC1	kinase non-catalytic C-lobe domain (KIND) containing 1	0		0
85443	DCLK3	doublecortin-like kinase 3	0		1
85444	LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1	0		1
85445	CNTNAP4	contactin associated protein-like 4	0		0
85446	ZFHX2	zinc finger homeobox 2	0		1
85449	KIAA1755	KIAA1755	0		0
85450	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	0		0
85451	UNK	unkempt family zinc finger	0		0
85452	CFAP74	cilia and flagella associated protein 74	0		0
85453	TSPYL5	TSPY-like 5	0		0
85455	DISP2	dispatched homolog 2 (Drosophila)	0		1
85456	TNKS1BP1	tankyrase 1 binding protein 1, 182kDa	0		0
85457	CIPC	CLOCK-interacting pacemaker	0		0
85458	DIXDC1	DIX domain containing 1	0		0
85459	CEP295	centrosomal protein 295kDa	0		0
85460	ZNF518B	zinc finger protein 518B	0		0
85461	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	0		0
85462	FHDC1	FH2 domain containing 1	0		0
85463	ZC3H12C	zinc finger CCCH-type containing 12C	0		0
85464	SSH2	slingshot protein phosphatase 2	0		0
85465	EPT1	ethanolaminephosphotransferase 1	0		1
85474	LBX2	ladybird homeobox 2	0		0
85476	GFM1	G elongation factor, mitochondrial 1	0		0
85477	SCIN	scinderin	0		0
85478	CCDC65	coiled-coil domain containing 65	0		0
85479	DNAJC5B	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	0		0
85480	TSLP	thymic stromal lymphopoietin	0		1
85481	PSKH2	protein serine kinase H2	0		0
85508	SCRT2	scratch family zinc finger 2	0		1
85509	MBD3L1	methyl-CpG binding domain protein 3-like 1	0		0
85569	GALP	galanin-like peptide	0		1
85865	GTPBP10	GTP-binding protein 10 (putative)	0		0
86614	HSFY1	heat shock transcription factor, Y-linked 1	0		0
87178	PNPT1	polyribonucleotide nucleotidyltransferase 1	0		0
87769	GGACT	gamma-glutamylamine cyclotransferase	0		1
88455	ANKRD13A	ankyrin repeat domain 13A	0		0
88745	RRP36	ribosomal RNA processing 36 homolog (S. cerevisiae)	0		0
89122	TRIM4	tripartite motif containing 4	0		0
89765	RSPH1	radial spoke head 1 homolog (Chlamydomonas)	0		0
89766	UMODL1	uromodulin-like 1	0		0
89777	SERPINB12	serpin peptidase inhibitor, clade B (ovalbumin), member 12	0		0
89778	SERPINB11	serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)	0		0
89780	WNT3A	wingless-type MMTV integration site family, member 3A	0		1
89781	HPS4	Hermansky-Pudlak syndrome 4	0		1
89782	LMLN	leishmanolysin-like (metallopeptidase M8 family)	0		1
89790	SIGLEC10	sialic acid binding Ig-like lectin 10	0		0
89792	GAL3ST3	galactose-3-O-sulfotransferase 3	0		0
89795	NAV3	neuron navigator 3	0		0
89796	NAV1	neuron navigator 1	0		0
89797	NAV2	neuron navigator 2	0		1
89801	PPP1R3F	protein phosphatase 1, regulatory subunit 3F	0		0
89822	KCNK17	potassium channel, two pore domain subfamily K, member 17	0		0
89832	CHRFAM7A	CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion	0		1
89839	ARHGAP11B	Rho GTPase activating protein 11B	0		0
89845	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	0		0
89846	FGD3	FYVE, RhoGEF and PH domain containing 3	0		0
89848	FCHSD1	FCH and double SH3 domains 1	0		0
89849	ATG16L2	autophagy related 16-like 2 (S. cerevisiae)	0		0
89853	MVB12B	multivesicular body subunit 12B	0		1
89857	KLHL6	kelch-like family member 6	0		0
89858	SIGLEC12	sialic acid binding Ig-like lectin 12 (gene/pseudogene)	0		0
89866	SEC16B	SEC16 homolog B (S. cerevisiae)	0		0
89869	PLCZ1	phospholipase C, zeta 1	0		0
89870	TRIM15	tripartite motif containing 15	0		0
89872	AQP10	aquaporin 10	0		0
89874	SLC25A21	solute carrier family 25 (mitochondrial oxoadipate carrier), member 21	0		0
89876	MAATS1	MYCBP-associated, testis expressed 1	0		0
89882	TPD52L3	tumor protein D52-like 3	0		0
89884	LHX4	LIM homeobox 4	0		0
89885	FATE1	fetal and adult testis expressed 1	0		0
89886	SLAMF9	SLAM family member 9	0		0
89887	ZNF628	zinc finger protein 628	0		0
